model,bench,persona,para,order,residual,framing_total,pct_order,pct_persona,pct_para,n_items,cultural
qwen3_14b,normad_rot,0.009452606853261708,0.01076693398420398,0.026258079524625378,0.013599297087468596,0.04647762036209106,56.49617884921337,20.337975093431456,23.165846057355175,2633,True
qwen3_14b,dices350,0.016841573462196776,0.04042201279988744,0.0032449404505316753,0.010814898583174791,0.0605085267126159,5.362782118202049,27.833388742359418,66.80382913943852,350,True
qwen3_14b,dices990,0.013480967290027495,0.02552469960209653,0.004572767519402418,0.009909327787535263,0.04357843441152644,10.493189076551422,30.93495090420641,58.57186001924218,990,True
qwen3_14b,globalopinions,0.050510000035979156,0.013567705200167547,0.1260083316828264,0.05871640842390039,0.1900860369189731,66.29015667076023,26.572177975129108,7.137665354110662,2556,True
qwen3_14b,vital,0.02123726697189846,0.004692431362207795,0.18618908280361096,0.029780402302818115,0.2121187811377172,87.77585926383789,10.01196917028778,2.2121715658743364,1857,False
qwen3_14b,scruples,0.01294288617585543,0.029136986119894175,0.005394968953837354,0.015314712298269185,0.04747484124958696,11.363848328580332,27.262621285685785,61.37353038573388,2500,False
qwen3_14b,d3code,0.013755657242269776,0.049762486586491544,0.0029908858829873013,0.026774523193454264,0.06650902971174863,4.496962135742855,20.682390499285663,74.82064736497148,4553,True
qwen3_14b,moralbench,0.18514384155819155,0.0011632294289706066,0.0,0.01659984687016895,0.18630707098716215,0.0,99.37563860415649,0.624361395843511,44,False
qwen25_14b,normad_none,0.015408868972971022,0.001007451468903552,0.014699994679712702,0.0013007486891311178,0.031116315121587274,47.24208063285239,49.52022407782133,3.23769528932628,2633,True
qwen25_14b,normad_country,0.0153313710849395,0.0013171005740511257,0.0086556823472307,0.0012834973826747291,0.025304154006221324,34.20656681548254,60.588356683136304,5.205076501381161,2633,True
qwen25_14b,normad_value,0.012265159535483617,0.0010022322005970288,0.013930520964034474,0.0014386518129709666,0.02719791270011512,51.21908110240942,45.09595890949272,3.6849599880978614,2633,True
qwen25_14b,normad_cval,0.014920902407243154,0.0007876706719749292,0.010093412547309855,0.0012812221043346566,0.02580198562652794,39.11874339210723,57.828504453945754,3.0527521539470084,2633,True
qwen25_14b,normad_rot,0.010985243259946384,0.000845787883770368,0.015681817226246394,0.0011822230410205039,0.027512848369963146,56.99815960664708,39.92768437578206,3.0741560175708584,2633,True
qwen25_14b,dices350,0.014957231814957438,0.005323920728274216,0.09967224010170136,0.010149004922125037,0.11995339264493302,83.09247275459336,12.469202817157045,4.438324428249596,350,True
qwen25_14b,dices990,0.039853627144026973,0.0022023955087932543,0.13631271584977658,0.007954560736016664,0.17836873850259682,76.42186461266701,22.343392389606855,1.2347429977261346,990,True
qwen25_14b,globalopinions,0.004388349487480072,0.00012433457011259717,0.058496806011154284,0.020428601552737475,0.06300949006874695,92.83808827421224,6.964584989804125,0.19732673598364478,2556,True
qwen25_14b,vital,0.005861971360178599,1.5713264517237736e-07,0.3172534783605411,0.018789013477492626,0.3231156068533648,98.18574888724454,1.814202482283333,4.863047214048276e-05,1857,False
qwen25_14b,scruples,0.04612392996549676,0.0028228994875419736,0.0026665565990354576,0.007515712176283198,0.051613386052074196,5.166405080157101,89.3642783268686,5.469316592974294,2500,False
qwen25_14b,d3code,0.045293296769892466,0.004110230996884359,0.023614822351183562,0.009658306722424575,0.07301835011796039,32.34094212349918,62.03001943582896,5.629038440671864,4553,True
qwen25_14b,moralbench,0.046014942489133556,0.0007096005740493456,0.0,0.010067663549102877,0.046724543063182904,0.0,98.48131083253227,1.5186891674677134,44,False
